Volume (m3),Surface (m2),Head (m)
1566000000,47621366.43,116.4615295
1560000000,47496887.74,116.3196046
1554000000,47372256.62,116.1773077
1548000000,47247472.3,116.0346365
1542000000,47122533.99,115.8915884
1536000000,46997440.91,115.7481611
1530000000,46872192.24,115.604352
1524000000,46746787.2,115.4601586
1518000000,46621224.97,115.3155785
1512000000,46495504.72,115.1706089
1506000000,46369625.64,115.0252473
1500000000,46243586.88,114.8794911
1494000000,46117387.61,114.7333377
1488000000,45991026.97,114.5867843
1482000000,45864504.11,114.4398283
1476000000,45737818.16,114.2924669
1470000000,45610968.24,114.1446973
1464000000,45483953.47,113.9965167
1458000000,45356772.97,113.8479223
1452000000,45229425.83,113.6989113
1446000000,45101911.14,113.5494807
1440000000,44974227.99,113.3996277
1434000000,44846375.44,113.2493492
1428000000,44718352.57,113.0986423
1422000000,44590158.44,112.9475039
1416000000,44461792.08,112.795931
1410000000,44333252.54,112.6439205
1404000000,44204538.84,112.4914693
1398000000,44075650,112.3385741
1392000000,43946585.03,112.1852319
1386000000,43817342.94,112.0314393
1380000000,43687922.69,111.8771931
1374000000,43558323.29,111.7224899
1368000000,43428543.69,111.5673265
1362000000,43298582.85,111.4116994
1356000000,43168439.71,111.2556052
1350000000,43038113.22,111.0990403
1344000000,42907602.3,110.9420014
1338000000,42776905.86,110.7844848
1332000000,42646022.81,110.626487
1326000000,42514952.04,110.4680042
1320000000,42383692.42,110.3090329
1314000000,42252242.82,110.1495692
1308000000,42120602.1,109.9896094
1302000000,41988769.11,109.8291497
1296000000,41856742.67,109.6681862
1290000000,41724521.6,109.506715
1284000000,41592104.71,109.3447321
1278000000,41459490.79,109.1822335
1272000000,41326678.62,109.0192151
1266000000,41193666.97,108.8556729
1260000000,41060454.59,108.6916025
1254000000,40927040.22,108.5269999
1248000000,40793422.58,108.3618607
1242000000,40659600.39,108.1961806
1236000000,40525572.34,108.0299551
1230000000,40391337.11,107.86318
1224000000,40256893.38,107.6958505
1218000000,40122239.78,107.5279623
1212000000,39987374.96,107.3595106
1206000000,39852297.54,107.1904908
1200000000,39717006.13,107.0208981
1194000000,39581499.3,106.8507277
1188000000,39445775.64,106.6799747
1182000000,39309833.7,106.5086342
1176000000,39173672.01,106.3367012
1170000000,39037289.1,106.1641705
1164000000,38900683.47,105.9910371
1158000000,38763853.61,105.8172957
1152000000,38626797.98,105.642941
1146000000,38489515.04,105.4679677
1140000000,38352003.2,105.2923703
1134000000,38214260.89,105.1161433
1128000000,38076286.49,104.939281
1122000000,37938078.38,104.7617779
1116000000,37799634.91,104.5836282
1110000000,37660954.4,104.404826
1104000000,37522035.17,104.2253653
1098000000,37382875.5,104.0452403
1092000000,37243473.67,103.8644447
1086000000,37103827.91,103.6829724
1080000000,36963936.45,103.5008171
1074000000,36823797.48,103.3179724
1068000000,36683409.19,103.1344318
1062000000,36542769.72,102.9501889
1056000000,36401877.21,102.7652369
