Volume (m3),Surface (m2),Head (m)
6482000000,118308796.1,172.2176087
6468000000,118134513.5,172.0992743
6454000000,117960110.9,171.9807653
6440000000,117785587.8,171.8620811
6426000000,117610944,171.743221
6412000000,117436179.1,171.6241845
6398000000,117261292.7,171.5049708
6384000000,117086284.5,171.3855793
6370000000,116911154.2,171.2660094
6356000000,116735901.3,171.1462603
6342000000,116560525.6,171.0263315
6328000000,116385026.6,170.9062222
6314000000,116209404.1,170.7859319
6300000000,116033657.6,170.6654597
6286000000,115857786.8,170.544805
6272000000,115681791.4,170.4239672
6258000000,115505670.9,170.3029456
6244000000,115329425,170.1817394
6230000000,115153053.3,170.060348
6216000000,114976555.4,169.9387707
6202000000,114799931,169.8170067
6188000000,114623179.8,169.6950555
6174000000,114446301.2,169.5729161
6160000000,114269295,169.450588
6146000000,114092160.7,169.3280704
6132000000,113914898,169.2053626
6118000000,113737506.5,169.0824638
6104000000,113559985.7,168.9593734
6090000000,113382335.4,168.8360905
6076000000,113204555.1,168.7126145
6062000000,113026644.4,168.5889445
6048000000,112848602.9,168.4650799
6034000000,112670430.2,168.3410199
6020000000,112492126,168.2167637
6006000000,112313689.7,168.0923106
5992000000,112135121.1,167.9676597
5978000000,111956419.7,167.8428103
5964000000,111777585,167.7177617
5950000000,111598616.7,167.5925129
5936000000,111419514.4,167.4670633
5922000000,111240277.7,167.3414121
5908000000,111060906.1,167.2155584
5894000000,110881399.1,167.0895015
5880000000,110701756.5,166.9632404
5866000000,110521977.7,166.8367745
5852000000,110342062.3,166.7101029
5838000000,110162010,166.5832247
5824000000,109981820.2,166.4561391
5810000000,109801492.5,166.3288454
5796000000,109621026.5,166.2013425
5782000000,109440421.8,166.0736298
5768000000,109259677.9,165.9457063
5754000000,109078794.3,165.8175712
5740000000,108897770.6,165.6892236
5726000000,108716606.4,165.5606627
5712000000,108535301.2,165.4318875
5698000000,108353854.6,165.3028972
5684000000,108172266.1,165.1736909
5670000000,107990535.1,165.0442678
5656000000,107808661.4,164.9146268
5642000000,107626644.4,164.7847671
5628000000,107444483.6,164.6546877
5614000000,107262178.5,164.5243879
5600000000,107079728.8,164.3938666
5586000000,106897133.8,164.2631229
5572000000,106714393.2,164.1321559
5558000000,106531506.5,164.0009646
5544000000,106348473.1,163.869548
5530000000,106165292.6,163.7379053
5516000000,105981964.4,163.6060355
5502000000,105798488.2,163.4739376
5488000000,105614863.3,163.3416105
5474000000,105431089.4,163.2090534
5460000000,105247165.8,163.0762653
5446000000,105063092.1,162.9432451
5432000000,104878867.8,162.8099918
5418000000,104694492.4,162.6765045
5404000000,104509965.3,162.5427821
5390000000,104325286,162.4088235
5376000000,104140454,162.2746279
5362000000,103955468.9,162.1401941
5348000000,103770330,162.005521
5334000000,103585036.8,161.8706077
5320000000,103399588.8,161.735453
5306000000,103213985.4,161.600056
5292000000,103028226.2,161.4644154
5278000000,102842310.6,161.3285303
5264000000,102656237.9,161.1923996
5250000000,102470007.8,161.0560221
5236000000,102283619.5,160.9193968
5222000000,102097072.7,160.7825225
5208000000,101910366.6,160.6453981
5194000000,101723500.7,160.5080224
5180000000,101536474.6,160.3703944
5166000000,101349287.5,160.232513
5152000000,101161938.9,160.0943768
5138000000,100974428.3,159.9559848
5124000000,100786755.1,159.8173359
5110000000,100598918.6,159.6784287
5096000000,100410918.3,159.5392622
5082000000,100222753.6,159.3998352
5068000000,100034423.9,159.2601463
5054000000,99845928.64,159.1201945
5040000000,99657267.13,158.9799785
5026000000,99468438.79,158.839497
5012000000,99279443.02,158.6987488
4998000000,99090279.2,158.5577327
4984000000,98900946.71,158.4164474
4970000000,98711444.93,158.2748917
4956000000,98521773.22,158.1330641
4942000000,98331930.95,157.9909636
4928000000,98141917.49,157.8485887
4914000000,97951732.19,157.7059381
4900000000,97761374.41,157.5630105
4886000000,97570843.5,157.4198047
4872000000,97380138.81,157.2763192
4858000000,97189259.67,157.1325527
4844000000,96998205.42,156.9885039
4830000000,96806975.4,156.8441713
4816000000,96615568.93,156.6995537
4802000000,96423985.34,156.5546495
4788000000,96232223.94,156.4094574
4774000000,96040284.06,156.263976
4760000000,95848164.99,156.1182038
4746000000,95655866.05,155.9721395
4732000000,95463386.53,155.8257815
4718000000,95270725.74,155.6791284
4704000000,95077882.95,155.5321787
4690000000,94884857.47,155.384931
4676000000,94691648.56,155.2373838
4662000000,94498255.5,155.0895355
4648000000,94304677.57,154.9413846
4634000000,94110914.03,154.7929296
4620000000,93916964.14,154.6441689
4606000000,93722827.15,154.4951011
4592000000,93528502.32,154.3457245
4578000000,93333988.89,154.1960375
4564000000,93139286.1,154.0460385
4550000000,92944393.18,153.895726
4536000000,92749309.37,153.7450983
4522000000,92554033.88,153.5941538
4508000000,92358565.93,153.4428908
4494000000,92162904.73,153.2913077
4480000000,91967049.5,153.1394028
4466000000,91770999.43,152.9871743
4452000000,91574753.71,152.8346207
4438000000,91378311.53,152.6817401
4424000000,91181672.08,152.5285309
4410000000,90984834.54,152.3749913
4396000000,90787798.06,152.2211195
4382000000,90590561.83,152.0669137
4368000000,90393124.99,151.9123722
4354000000,90195486.7,151.7574932
4340000000,89997646.1,151.6022748
4326000000,89799602.33,151.4467152
4312000000,89601354.54,151.2908125
4298000000,89402901.83,151.1345648
